STUDY,STUDY TITLE ,STUDY DESCRIPTION,DATASET,DATASET TITLE,DATASET DESCRIPTION,SAMPLE TECHNOLOGY
EGAS00001000111,UK10K NEURO ASD BIONED,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

The BioNED (Biomarkers for Childhood onset neuropsychiatric disorders) study has been carrying out detailed phenotypic assessments evaluating children with an autism spectrum disorder. These assessments included ADI-R, ADOS, neuropsychology, EEG etc. There are 56 DNA samples from this study (25 extracted from blood). For further information with regard to this cohort please contact Patrick Bolton (patrick.bolton@kcl.ac.uk).",EGAD00001000310,UK10K_NEURO_ASD_BIONED REL-2012-11-27,UK10K_NEURO_ASD_BIONED REL-2012-11-27, Illumina HiSeq 2000;
EGAS00001000111,UK10K NEURO ASD BIONED,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

The BioNED (Biomarkers for Childhood onset neuropsychiatric disorders) study has been carrying out detailed phenotypic assessments evaluating children with an autism spectrum disorder. These assessments included ADI-R, ADOS, neuropsychology, EEG etc. There are 56 DNA samples from this study (25 extracted from blood). For further information with regard to this cohort please contact Patrick Bolton (patrick.bolton@kcl.ac.uk).",EGAD00001000228,UK10K_NEURO_ASD_BIONED REL-2012-07-05,EGAD00001000228_UK10K_NEURO_ASD_BIONED_REL_2012_07_05, Illumina HiSeq 2000;
EGAS00001000111,UK10K NEURO ASD BIONED,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

The BioNED (Biomarkers for Childhood onset neuropsychiatric disorders) study has been carrying out detailed phenotypic assessments evaluating children with an autism spectrum disorder. These assessments included ADI-R, ADOS, neuropsychology, EEG etc. There are 56 DNA samples from this study (25 extracted from blood). For further information with regard to this cohort please contact Patrick Bolton (patrick.bolton@kcl.ac.uk).",EGAD00001000434,UK10K_NEURO_ASD_BIONED REL-2013-04-20,, Illumina HiSeq 2000;
EGAS00001000112,UK10K NEURO ASD GALLAGHER,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

This is an Irish sample set of individuals with ASD (approximately 50% with comorbid intellectual disability). Individuals have been diagnosed with ADI/ ADOS, measures of cognition/ adaptive function. They represent a more severe, narrowly defined cohort of ASD subjects. Family histories are available for some with measures of broader phenotype. For further information on this cohort please contact Nadia Bolshakova (bolshakn@tcd.ie).",EGAD00001000230,UK10K_NEURO_ASD_GALLAGHER REL-2012-07-05,EGAD00001000230_UK10K_NEURO_ASD_GALLAGHER_REL_2012_07_05, Illumina HiSeq 2000;
EGAS00001000112,UK10K NEURO ASD GALLAGHER,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

This is an Irish sample set of individuals with ASD (approximately 50% with comorbid intellectual disability). Individuals have been diagnosed with ADI/ ADOS, measures of cognition/ adaptive function. They represent a more severe, narrowly defined cohort of ASD subjects. Family histories are available for some with measures of broader phenotype. For further information on this cohort please contact Nadia Bolshakova (bolshakn@tcd.ie).",EGAD00001000316,UK10K_NEURO_ASD_GALLAGHER REL-2012-11-27,UK10K_NEURO_ASD_GALLAGHER REL-2012-11-27, Illumina HiSeq 2000;
EGAS00001000112,UK10K NEURO ASD GALLAGHER,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

This is an Irish sample set of individuals with ASD (approximately 50% with comorbid intellectual disability). Individuals have been diagnosed with ADI/ ADOS, measures of cognition/ adaptive function. They represent a more severe, narrowly defined cohort of ASD subjects. Family histories are available for some with measures of broader phenotype. For further information on this cohort please contact Nadia Bolshakova (bolshakn@tcd.ie).",EGAD00001000436,UK10K_NEURO_ASD_GALLAGHER REL-2013-04-20,, Illumina HiSeq 2000;
EGAS00001000113,UK10K NEURO ASD MGAS,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches.  

The MGAS (Molecular Genetics of Autism Study) samples are from a clinical sample seen by specialists at the Maudsley hospital and who have had detailed phenotypic assessments with ADI-R and ADOS.For further information on this cohort please contact Patrick Bolton (patrick.bolton@kcl.ac.uk).",EGAD00001000242,UK10K_NEURO_ASD_MGAS REL-2012-07-05,EGAD00001000242_UK10K_NEURO_ASD_MGAS_REL_2012_07_05, Illumina HiSeq 2000;
EGAS00001000113,UK10K NEURO ASD MGAS,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches.  

The MGAS (Molecular Genetics of Autism Study) samples are from a clinical sample seen by specialists at the Maudsley hospital and who have had detailed phenotypic assessments with ADI-R and ADOS.For further information on this cohort please contact Patrick Bolton (patrick.bolton@kcl.ac.uk).",EGAD00001000312,UK10K_NEURO_ASD_MGAS REL-2012-11-27,UK10K_NEURO_ASD_MGAS REL-2012-11-27, Illumina HiSeq 2000;
EGAS00001000113,UK10K NEURO ASD MGAS,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches.  

The MGAS (Molecular Genetics of Autism Study) samples are from a clinical sample seen by specialists at the Maudsley hospital and who have had detailed phenotypic assessments with ADI-R and ADOS.For further information on this cohort please contact Patrick Bolton (patrick.bolton@kcl.ac.uk).",EGAD00001000613,UK10K_NEURO_ASD_MGAS REL-2013-04-20,, Illumina HiSeq 2000;
EGAS00001000114,UK10K NEURO ASD SKUSE,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

This sample set of UK origin consists of clinically identified subjects with Autism Spectrum Disorders, mostly without intellectual disability (ie. Verbal IQs >70). The subjects represent children and adults with Autism, Asperger syndrome or Atypical Autism, identified according to standardized research criteria (ADI-algorithm, ADOS). A minority has identified comorbid neurodevelopmental disorders (e.g. ADHD). Family histories are available, with measures of broader phenotype in first-degree relatives.For further information on this cohort please contact David Skuse (d.skuse@ucl.ac.uk).",EGAD00001000231,UK10K_NEURO_ASD_SKUSE REL-2012-07-05,EGAD00001000231_UK10K_NEURO_ASD_SKUSE_REL_2012_07_05, Illumina HiSeq 2000;
EGAS00001000114,UK10K NEURO ASD SKUSE,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

This sample set of UK origin consists of clinically identified subjects with Autism Spectrum Disorders, mostly without intellectual disability (ie. Verbal IQs >70). The subjects represent children and adults with Autism, Asperger syndrome or Atypical Autism, identified according to standardized research criteria (ADI-algorithm, ADOS). A minority has identified comorbid neurodevelopmental disorders (e.g. ADHD). Family histories are available, with measures of broader phenotype in first-degree relatives.For further information on this cohort please contact David Skuse (d.skuse@ucl.ac.uk).",EGAD00001000313,UK10K_NEURO_ASD_SKUSE REL-2012-11-27,UK10K_NEURO_ASD_SKUSE REL-2012-11-27, Illumina HiSeq 2000;
EGAS00001000114,UK10K NEURO ASD SKUSE,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

This sample set of UK origin consists of clinically identified subjects with Autism Spectrum Disorders, mostly without intellectual disability (ie. Verbal IQs >70). The subjects represent children and adults with Autism, Asperger syndrome or Atypical Autism, identified according to standardized research criteria (ADI-algorithm, ADOS). A minority has identified comorbid neurodevelopmental disorders (e.g. ADHD). Family histories are available, with measures of broader phenotype in first-degree relatives.For further information on this cohort please contact David Skuse (d.skuse@ucl.ac.uk).",EGAD00001000614,UK10K_NEURO_ASD_SKUSE REL-2013-04-20,, Illumina HiSeq 2000;
EGAS00001000115,UK10K NEURO ASD TAMPERE,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. The Tampere Autism sample set consists of samples from Finnish subjects with ASD (autism spectrum disorders) with IQs over 70 recruited from a clinical centre for the diagnosis and treatment of children with ASD. For further information on this cohort please contact either Terho Lehtimaki (terho.lehtimaki@uta.fi) or Kaija Puura (kaija.puura@pshp.fi).",EGAD00001000232,UK10K_NEURO_ASD_TAMPERE REL-2012-07-05,EGAD00001000232_UK10K_NEURO_ASD_TAMPERE_REL_2012_07_05, Illumina HiSeq 2000;
EGAS00001000115,UK10K NEURO ASD TAMPERE,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. The Tampere Autism sample set consists of samples from Finnish subjects with ASD (autism spectrum disorders) with IQs over 70 recruited from a clinical centre for the diagnosis and treatment of children with ASD. For further information on this cohort please contact either Terho Lehtimaki (terho.lehtimaki@uta.fi) or Kaija Puura (kaija.puura@pshp.fi).",EGAD00001000314,UK10K_NEURO_ASD_TAMPERE REL-2012-11-27,UK10K_NEURO_ASD_TAMPERE REL-2012-11-27, Illumina HiSeq 2000;
EGAS00001000115,UK10K NEURO ASD TAMPERE,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. The Tampere Autism sample set consists of samples from Finnish subjects with ASD (autism spectrum disorders) with IQs over 70 recruited from a clinical centre for the diagnosis and treatment of children with ASD. For further information on this cohort please contact either Terho Lehtimaki (terho.lehtimaki@uta.fi) or Kaija Puura (kaija.puura@pshp.fi).",EGAD00001000437,UK10K_NEURO_ASD_TAMPERE REL-2013-04-20,, Illumina HiSeq 2000;
EGAS00001000117,UK10K NEURO EDINBURGH,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

This sample set consists of subjects with schizophrenia recruited from psychiatric in-patient and out-patient facilities in Scotland. All diagnoses are based on standard research procedures and family histories are available. Patients have IQ>70 and the cohort includes the following groups: 100 cases with detailed clinical, cognitive and structural and functional neuroimaging phenotypes; 138 familial cases who are the probands of families where DNA has been collected from other affected members; 162 unrelated individuals. In most cases patients and their families may be re contacted to take part in further studies.For further information on this cohort please contact Andrew McIntosh (andrew.mcintosh@ed.ac.uk).",EGAD00001000317,UK10K_NEURO_EDINBURGH REL-2012-11-27,UK10K_NEURO_EDINBURGH REL-2012-11-27, Illumina HiSeq 2000;
EGAS00001000117,UK10K NEURO EDINBURGH,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

This sample set consists of subjects with schizophrenia recruited from psychiatric in-patient and out-patient facilities in Scotland. All diagnoses are based on standard research procedures and family histories are available. Patients have IQ>70 and the cohort includes the following groups: 100 cases with detailed clinical, cognitive and structural and functional neuroimaging phenotypes; 138 familial cases who are the probands of families where DNA has been collected from other affected members; 162 unrelated individuals. In most cases patients and their families may be re contacted to take part in further studies.For further information on this cohort please contact Andrew McIntosh (andrew.mcintosh@ed.ac.uk).",EGAD00001000233,UK10K_NEURO_EDINBURGH REL-2012-07-05,EGAD00001000233_UK10K_NEURO_EDINBURGH_REL_2012_07_05, Illumina HiSeq 2000;
EGAS00001000117,UK10K NEURO EDINBURGH,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing. We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches. 

This sample set consists of subjects with schizophrenia recruited from psychiatric in-patient and out-patient facilities in Scotland. All diagnoses are based on standard research procedures and family histories are available. Patients have IQ>70 and the cohort includes the following groups: 100 cases with detailed clinical, cognitive and structural and functional neuroimaging phenotypes; 138 familial cases who are the probands of families where DNA has been collected from other affected members; 162 unrelated individuals. In most cases patients and their families may be re contacted to take part in further studies.For further information on this cohort please contact Andrew McIntosh (andrew.mcintosh@ed.ac.uk).",EGAD00001000438,UK10K_NEURO_EDINBURGH REL-2013-04-20,, Illumina HiSeq 2000;
EGAS00001000118,UK10K NEURO FSZ,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing.  We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches.
 
These Finnish schizophrenia samples have been collected from a population cohort using national registers. The entire sample collection consists of 2756 individuals from 458 families of whom 931 are diagnosed with schizophrenia spectrum disorder, each family having at least two affected siblings. 170 families originate from an internal isolate (Kuusamo) with a three-fold lifetime risk for the trait. The genealogy of the internal isolate is well documented and the individuals form a â€œmegapedigreeâ€ reaching to the 17th Century. All diagnoses are based on DSM-IV and for a large fraction of cases there is cognitive data. For further details/descriptions with regard to this data set please contact Tiina Paunio (tiina.paunio@thl.fi)",EGAD00001000318,UK10K_NEURO_FSZ REL-2012-11-27,UK10K_NEURO_FSZ REL-2012-11-27, Illumina HiSeq 2000;
EGAS00001000118,UK10K NEURO FSZ,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing.  We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches.
 
These Finnish schizophrenia samples have been collected from a population cohort using national registers. The entire sample collection consists of 2756 individuals from 458 families of whom 931 are diagnosed with schizophrenia spectrum disorder, each family having at least two affected siblings. 170 families originate from an internal isolate (Kuusamo) with a three-fold lifetime risk for the trait. The genealogy of the internal isolate is well documented and the individuals form a â€œmegapedigreeâ€ reaching to the 17th Century. All diagnoses are based on DSM-IV and for a large fraction of cases there is cognitive data. For further details/descriptions with regard to this data set please contact Tiina Paunio (tiina.paunio@thl.fi)",EGAD00001000184,UK10K_NEURO_FSZ REL-2012-01-13,EGAD00001000184_UK10K_NEURO_FSZ_REL_2012_01_13, Illumina HiSeq 2000;
EGAS00001000118,UK10K NEURO FSZ,"In the UK10K project we propose a series of complementary genetic approaches to find new low frequency/rare variants contributing to disease phenotypes. These will be based on obtaining the genome wide sequence of 4000 samples from the TwinsUK and ALSPAC cohorts (at 6x sequence coverage), and the exome sequence (protein coding regions and related conserved sequence) of 6000 samples selected for extreme phenotypes. Our studies will focus primarily on cardiovascular-related quantitative traits, obesity and related metabolic traits, neurodevelopmental disorders and a limited number of extreme clinical phenotypes that will provide proof-of-concept for future familial trait sequencing.  We will analyse directly quantitative traits in the cohorts and the selected traits in the extreme samples, and also use imputation down to 0.1% allele frequency to extend the analyses to further sample sets with genome wide genotype data. In each case we will investigate indels and larger structural variants as well as SNPs, and use statistical methods that combine rare variants in a locus or pathway as well as single-variant approaches.
 
These Finnish schizophrenia samples have been collected from a population cohort using national registers. The entire sample collection consists of 2756 individuals from 458 families of whom 931 are diagnosed with schizophrenia spectrum disorder, each family having at least two affected siblings. 170 families originate from an internal isolate (Kuusamo) with a three-fold lifetime risk for the trait. The genealogy of the internal isolate is well documented and the individuals form a â€œmegapedigreeâ€ reaching to the 17th Century. All diagnoses are based on DSM-IV and for a large fraction of cases there is cognitive data. For further details/descriptions with regard to this data set please contact Tiina Paunio (tiina.paunio@thl.fi)",EGAD00001000240,UK10K_NEURO_FSZ REL-2012-07-05,EGAD00001000240_UK10K_NEURO_FSZ_REL_2012_07_05, Illumina HiSeq 2000;
